idArea,"Area","Discipline",idDiscipline
3300,"Social Sciences","Geography, Planning and Development",3305
3300,"Social Sciences","Health(social science)",3306
3300,"Social Sciences","Human Factors and Ergonomics",3307
3300,"Social Sciences","Law",3308
3300,"Social Sciences","Library and Information Sciences",3309
3300,"Social Sciences","Linguistics and Language",3310
3300,"Social Sciences","Safety Research",3311
3300,"Social Sciences","Sociology and Political Science",3312
3300,"Social Sciences","Transportation",3313
3300,"Social Sciences","Anthropology",3314
3300,"Social Sciences","Communication",3315
3300,"Social Sciences","Cultural Studies",3316
3300,"Social Sciences","Demography",3317
3300,"Social Sciences","Gender Studies",3318
3300,"Social Sciences","Life-span and Life-course Studies",3319
3300,"Social Sciences","Political Science and International Relations",3320
3300,"Social Sciences","Public Administration",3321
3300,"Social Sciences","Urban Studies",3322
3300,"Social Sciences","Social Work",3323
3400,"Veterinary","General Veterinary",3401
3400,"Veterinary","Equine",3402
3400,"Veterinary","Food Animals",3403
3400,"Veterinary","Small Animals",3404
1000,"Multidisciplinary","Multidisciplinary",1000
